declared_income,No_of_companies_worked,current_employer_tenure_months,earliest_start_year,total_experience,average_employement_tenure_months,total_assets,total_liabilities,net_worth,num_assets,num_liabilities,asset_to_liability_ratio,property_asset_value,investment_asset_value,family_size,dependents,Age,Gender,marital_status,Disability,Housing_type,Social_support
4398.847839874308,2,7,1998,27,13.5,110327.35814838822,24345.375083752977,85981.98306463523,4,3,4.5317584045774595,41026.124685725415,17945.31875086688,5,4,56,Female,Married,Yes,Owned,1
5052.878935203924,3,12,1980,44,14.7,121113.30836955707,30715.259046919597,90398.04932263747,4,1,3.9430990370144183,82821.844056133,24870.842846314805,2,1,69,Female,Divorced,No,Owned,1
4970.472218767551,1,15,2003,21,21.0,122063.26785830907,53922.645447063485,68140.6224112456,1,0,2.2636735799273806,55424.66395861664,20122.151039487682,7,1,46,Female,Single,No,Renting,1
5735.098530762978,4,2,2015,9,2.2,55665.33378345003,22243.845501274216,33421.48828217581,1,3,2.502504963912885,24305.03518628844,6802.692588693568,4,2,32,Female,Single,No,Other,0
6610.41975265487,4,6,1990,34,8.5,63346.74189828752,13234.791461892633,50111.95043639488,4,2,4.786380055982284,41165.39358034175,11944.21767861612,2,1,60,Male,Married,No,Owned,1
5279.763801437664,1,5,2018,6,6.0,145434.53481882063,21378.983670538826,124055.5511482818,2,2,6.802687024792285,76432.65623878545,21909.79460727504,5,3,25,Male,Married,No,Renting,1
4619.306175360534,2,4,2015,10,5.0,85444.64007617108,17157.222946902268,68287.41712926881,5,0,4.980097323477287,43284.352388155974,24082.270638088045,1,0,38,Male,Single,No,Other,1
5367.1453071437045,1,14,1991,33,33.0,33987.13201577864,15916.261624128689,18070.87039164995,5,3,2.135371535000086,20079.297414161145,4090.3821202513304,3,2,56,Female,Married,No,Owned,1
4581.144549110568,3,2,2015,9,3.0,315745.58741696813,105028.20243850596,210717.38497846219,2,0,3.0062933582228757,167955.71709330368,34678.503867651176,6,1,36,Male,Single,No,Owned,0
2716.1699695503185,1,16,2007,18,18.0,138061.44596707483,43267.36420235614,94794.08176471869,1,0,3.190891067950856,50393.291753097976,13952.880972234261,7,0,40,Male,Single,Yes,Owned,1
6697.919256934362,1,3,2018,6,6.0,92768.83482336816,31407.579218170384,61361.25560519777,4,1,2.9537085357313417,52848.461612556086,15363.811956457715,6,1,28,Male,Married,Yes,Living with Family,1
6405.158293731705,2,2,2019,5,2.5,72030.97842991565,17749.247488882233,54281.73094103341,5,0,4.058255341531205,25454.851114829096,16716.759862561245,5,2,28,Male,Married,No,Owned,1
8132.500990370894,3,2,2009,15,5.0,114669.48529685083,48487.16716949047,66182.31812736037,4,3,2.3649450357867923,71363.76090631852,28218.182349024355,7,3,41,Female,Divorced,No,Renting,1
8680.748959716413,5,2,1998,26,5.2,150496.66356238848,46550.80019934439,103945.86336304409,2,0,3.2329554576487824,104729.8213732312,28692.540570163055,7,1,53,Female,Single,No,Renting,0
3485.9698016208595,5,5,1999,25,5.0,15436.625596809965,2264.5400253828648,13172.0855714271,4,3,6.816671564107197,6961.224267684969,3656.407592130634,1,0,57,Male,Married,No,Living with Family,1
4616.900119431757,4,1,2013,12,3.0,378848.1884150799,57443.25433313066,321404.93408194924,2,2,6.595172798150077,181052.4430528256,65155.37496257797,7,2,41,Male,Married,No,Renting,0
8777.309395305214,1,1,2024,1,1.0,56772.20679902746,17868.69207478116,38903.5147242463,1,0,3.1771887142849407,18086.118476310243,13259.787244454154,4,1,20,Female,Single,No,Renting,1
5119.174076626648,4,1,2007,18,4.5,80599.76691958056,38254.91320409021,42344.85371549035,2,3,2.1069128163898916,24622.686779281597,8714.38208260646,2,1,39,Male,Married,No,Renting,1
5366.316353820128,2,0,2024,0,0.0,84375.73780742848,18844.54888910894,65531.18891831954,2,2,4.477461270308932,56410.895826316606,15031.588055401984,2,1,19,Male,Single,No,Renting,0
2848.3050724581312,5,2,2012,13,2.6,299966.30094358744,134329.84927070397,165636.45167288347,5,3,2.2330576753576925,105423.04373199178,77442.28057476941,2,1,41,Male,Widowed,No,Owned,0
5515.432947365161,1,6,1995,29,29.0,77778.32084167273,31549.860758822557,46228.46008285017,4,2,2.4652508432996147,37202.26523333362,20269.12421913492,4,2,61,Male,Single,No,Living with Family,1
8047.910562138633,2,6,2009,15,7.5,323525.1827016334,64421.9446170414,259103.23808459204,5,1,5.0219716996256585,202572.65627028688,78690.9511756255,6,2,47,Female,Married,No,Renting,0
7229.938715155293,2,9,1994,30,15.0,126686.92099479372,14510.25110381197,112176.66989098175,3,0,8.73085655709376,83072.09848972889,17843.564497123385,1,0,55,Female,Single,No,Renting,0
4085.023067722185,1,0,2025,0,0.0,36216.74407729989,5097.104942383822,31119.639134916066,2,0,7.105355782681214,18389.380440091285,5412.267313111834,7,0,19,Male,Other,No,Renting,1
4545.5254501473755,2,4,2011,14,7.0,85488.09985631533,33459.83485021951,52028.26500609582,3,2,2.5549468561036397,44967.85272377859,25579.55650205927,4,0,38,Male,Married,Yes,Living with Family,1
3503.649561258605,1,1,2005,20,20.0,64981.765634032825,11688.133412029696,53293.63222200313,5,1,5.559635858293001,36901.42846920044,7841.7136505455055,2,1,50,Female,Married,No,Owned,1
3813.255289625441,1,6,2015,9,9.0,32322.221445674044,8032.342508133237,24289.87893754081,4,3,4.024009361272359,22126.273271291924,4400.106096746766,5,1,29,Female,Single,No,Renting,1
2284.6821068202953,3,5,2010,15,5.0,83312.92295386632,25050.501880791537,58262.42107307479,5,1,3.3257985548684674,45077.95529527157,10497.865779178477,3,2,39,Female,Married,No,Living with Family,1
5222.770488010386,4,2,1989,35,8.8,82696.1828216428,32266.997597939087,50429.18522370371,4,3,2.5628719427841857,43315.442182568055,13688.781238004081,7,2,61,Female,Single,No,Living with Family,1
7445.166019895616,2,6,2007,18,9.0,143699.44935869577,20878.450708888722,122820.99864980705,4,3,6.882668228707106,43945.2537014598,20410.375294193327,4,1,42,Male,Divorced,No,Living with Family,0
5923.147886140624,2,19,1986,39,19.5,98887.78077294264,25962.646876720813,72925.13389622183,1,0,3.808848198047539,32868.30878677151,19731.82964471291,4,1,66,Male,Single,No,Living with Family,1
7239.358484948598,3,2,2005,19,6.3,57337.28741428634,16858.834664788126,40478.45274949821,2,2,3.4010231759400744,30438.56840153039,11192.475958536072,1,0,44,Female,Single,No,Renting,1
6879.874101388998,3,6,1997,27,9.0,162418.10803549073,51377.8542054078,111040.25383008293,5,0,3.1612474002153896,109550.38939227123,45525.978222477825,1,0,59,Male,Single,Yes,Owned,1
4409.787865641058,3,5,2002,23,7.7,47868.246450715655,20456.220192220353,27412.0262584953,4,0,2.340033789278446,30955.271959968817,5119.412718265908,4,0,45,Female,Married,No,Renting,1
3960.7400078903274,5,1,2015,10,2.0,7214.7235913789655,1216.916648699359,5997.806942679606,5,0,5.928691664371644,5000.031211855127,1183.0409047749422,2,1,33,Female,Married,No,Living with Family,1
4018.2231647228164,5,1,2015,10,2.0,81616.48532094868,34534.59406401814,47081.89125693053,5,3,2.3633254576455416,41716.92918769132,17901.072548856606,3,1,32,Female,Single,No,Owned,1
2694.4070773369267,5,2,1997,27,5.4,43668.11175340235,16469.488220211886,27198.623533190465,4,0,2.651455295363182,26863.41603548614,9648.921360311604,7,0,64,Male,Married,Yes,Owned,1
5418.495349193362,1,13,1987,37,37.0,109895.41687853445,35424.603630655445,74470.813247879,3,3,3.10223419926805,69911.08297311218,21542.276106220488,1,0,68,Female,Married,No,Owned,1
1000.0,2,7,1994,31,15.5,250762.30356319866,95242.31843184293,155519.98513135573,2,2,2.632887435879131,140229.45553862528,65983.86434667982,7,2,61,Male,Married,No,Renting,1
6177.123263929579,4,7,1996,29,7.2,398390.9355247109,105496.74654196171,292894.18898274924,2,3,3.7763338546772105,173499.23715698277,44836.6824620606,2,1,69,Female,Married,No,Owned,0
5117.821403578312,1,1,2023,1,1.0,71306.1254000816,11078.050788052828,60228.074612028766,1,3,6.436703239976296,34796.774098841575,18760.467114946063,7,3,20,Female,Married,No,Other,1
5967.15979974226,2,12,1999,26,13.0,46162.469168841315,16909.59386785863,29252.875300982683,1,1,2.7299572969984736,29690.16890939891,9184.062390937464,5,3,54,Male,Married,No,Living with Family,1
6985.524424422203,2,1,1984,40,20.0,142502.07105267092,44156.96323594041,98345.10781673051,1,0,3.2271709965934674,59768.10042017642,18062.442320050617,1,0,68,Other,Single,No,Renting,1
5338.19188250828,3,1,2020,4,1.3,62140.96875904827,22106.644678245364,40034.32408080291,2,0,2.8109633851490705,41603.20785228497,17221.771863734444,2,0,24,Female,Single,Yes,Renting,1
7557.357606482134,3,3,2013,11,3.7,127909.79939406218,30084.322450122905,97825.47694393928,3,0,4.251709494409425,50130.733030561234,29399.52452979351,2,1,38,Male,Divorced,No,Renting,1
5992.918716428315,1,4,2018,6,6.0,52363.383529910236,24230.979312872158,28132.404217038078,2,0,2.161009790557387,31407.901262500247,6949.099457758022,3,0,26,Male,Divorced,No,Owned,1
4064.309729775925,3,5,2004,20,6.7,89773.08064193542,30069.309095504857,59703.771546430566,2,1,2.985538522245456,49574.82219035544,9581.47593064947,3,2,56,Male,Single,Yes,Living with Family,1
